ID,Question,Dimension
1,"I often try new things, even if they are risky",Novelty Seeking
2,I worry about things even if there’s no reason,Harm Avoidance
3,I feel happiest when helping others,Reward Dependence
4,I keep working on tasks even when difficult,Persistence
5,I can control my impulses well,Self-Directedness
6,I am tolerant and cooperative with others,Cooperativeness
7,I feel a connection to something greater than myself,Self-Transcendence
8,I enjoy exploring new hobbies,Novelty Seeking
9,I am cautious about making mistakes,Harm Avoidance
10,I am motivated by social approval,Reward Dependence
11,I am persistent even when progress is slow,Persistence
12,I set clear goals for myself,Self-Directedness
13,I empathize easily with others,Cooperativeness
14,I often feel a spiritual connection,Self-Transcendence
15,I get bored with routine quickly,Novelty Seeking
16,I tend to worry about health issues,Harm Avoidance
17,I maintain close relationships,Reward Dependence
18,I finish tasks despite obstacles,Persistence
19,I can adapt to changing situations,Self-Directedness
20,I prefer cooperation over conflict,Cooperativeness
21,I reflect on the meaning of life,Self-Transcendence
22,I seek out excitement and new experiences,Novelty Seeking
23,I avoid taking risks that could cause failure,Harm Avoidance
24,I like to be appreciated for my efforts,Reward Dependence
25,I continue tasks until completion,Persistence
